Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format
Stock,DBS Wealth Always On, $162.60 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Stock_Market,DBS Wealth Always On, $286.90 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Trading_Account,DBS Wealth Always On, $408.54 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
UOB Premier Banking,DBS Wealth Always On," $1,057.80 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
UOB Priority Banking,DBS Wealth Always On, $56.69 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
UOB Privilege Banking,DBS Wealth Always On, $24.65 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
Wealth_Management,DBS Wealth Always On, $315.67 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Dianomi - Desktop,Dianomi - Desktop," $1,433.79 ",Click,Dianomi,Tactical,Dianomi - Tactical,,Acquisition,Exchange,Prospect,Native
Dianomi - Mobile,Dianomi - Mobile, $-   ,Click,Dianomi,Tactical,Dianomi - Tactical,,Acquisition,Exchange,Prospect,Native
Forbes - Bonus Ad - Billboard -,Forbes - Bonus Ad - Billboard -, $-   ,Click,Forbes,Brand,Forbes - Brand,,Branding,Publisher,Prospect,Display
Forbes - Bonus Ad - Half Page -,Forbes - Bonus Ad - Half Page -, $-   ,Click,Forbes,Brand,Forbes - Brand,,Branding,Publisher,Prospect,Display
Forbes - Bonus Ad - Leaderboard -,Forbes - Bonus Ad - Leaderboard -, $-   ,Click,Forbes,Brand,Forbes - Brand,,Branding,Publisher,Prospect,Display
Forbes - Bonus Ads - Videos,Forbes - Bonus Ads - Videos, $-   ,Click,Forbes,Brand,Forbes - Brand,,Content Marketing,Publisher,Prospect,Display
Google Sponsored Promotion - Target Affluent,Google Sponsored Promotion - Target Affluent, $-   ,Click,GSP,Tactical,GSP - Tactical,,Acquisition,Search,Prospect,Display
LinkedIn - Sponsored Content - Asian Insights - AI,LinkedIn - Sponsored Content - Asian Insights - AI, $-   ,Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social
LinkedIn - Sponsored Content - Forbes Videos - AU,LinkedIn - Sponsored Content - Forbes Videos - AU," $8,300.38 ",Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social
LinkedIn - Sponsored Content - Offer Content - AU,LinkedIn - Sponsored Content - Offer Content - AU, $-   ,Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social
LinkedIn - Sponsored InMail - AU,LinkedIn - Sponsored InMail - AU, $-   ,Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social
OutBrain - Forbes Videos - AU,OutBrain - Forbes Videos - AU," $12,500.00 ",Click,OutBrain,Brand,OutBrain - Brand,,Content Marketing,Exchange,Prospect,Native
Straits Times.com - Homepage - Launchpad ( to ),Straits Times.com - Homepage - Launchpad ( to ), $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display
Straits Times.com - Homepage - Trans Ad - 16 May 2016,Straits Times.com - Homepage - Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display
Straits Times.com - Homepage - Trans Ad - 18 May 2016,Straits Times.com - Homepage - Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display
Straits Times.com - Homepage - Trans Ad - 19 May 2016,Straits Times.com - Homepage - Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display
Straits Times.com - Inside Pages Mobile Trans Ad,Straits Times.com - Inside Pages Mobile Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display
Straits Times.com - Others (ST & BT ROS in Selected Sections),Straits Times.com - Others (ST & BT ROS in Selected Sections), $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display
Twitter - Target Affluent - Forbes U30 (Multi-Image Tweet Engagement),Twitter - Target Affluent - Forbes U30 (Multi-Image Tweet Engagement), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Twitter - Target Affluent - Webinar (Website Card),Twitter - Target Affluent - Webinar (Website Card), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Twitter - Target Affluent - WWW (Website Card),Twitter - Target Affluent - WWW (Website Card), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Twitter - Target Affluent (Website Card),Twitter - Target Affluent (Website Card), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Twitter (Video Card) - Forbes Videos - AU,Twitter (Video Card) - Forbes Videos - AU," $3,063.70 ",Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Twitter (Website Card) - Asian Insights - AI,Twitter (Website Card) - Asian Insights - AI, $50.24 ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Twitter (Website Card) - Offer Content - AU,Twitter (Website Card) - Offer Content - AU," $1,623.47 ",Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social
Y! Audience Ads - IP SG,Y! Audience Ads - IP SG, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Branding,Exchange,Prospect,Display
Y! Audience Ads - IP SG Interest Target Finance,Y! Audience Ads - IP SG Interest Target Finance, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Branding,Exchange,Prospect,Display
Yahoo - Content Page - Offer Content - - AU,Yahoo - Content Page - Offer Content - - AU, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native
Yahoo - Stream Ads - General Targeting,Yahoo - Stream Ads - General Targeting," $4,461.81 ",Click,Yahoo!,Tactical,Yahoo! - Tactical,,Acquisition,Search,Prospect,Native
Yahoo - Stream Ads - Retargeting,Yahoo - Stream Ads - Retargeting," $2,808.78 ",Click,Yahoo!,Tactical,Yahoo! - Tactical,,Acquisition,Search,Remarket,Native
Yahoo SG Finance ROS (Age 30-49) - Billboard,Yahoo SG Finance ROS (Age 30-49) - Billboard, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PG - WSJ - Front Page Platinum Buyout ATF (Sponsorship),," $6,401.74 ",,,,,,,,,
